concept_id	concept_synonym_name	language_concept_id
40217051	Injection, dexamethasone 9 percent, intraocular, 1 microgram	4180186
40217051	Injection, dexamethasone 9%	4180186
40217058	Factor viii pegylated-aucl	4180186
40217059	Inj., perseris, 0.5 mg	4180186
40217066	Inj. jivi 1 iu	4180186
40217068	Auc consult not provided	4180186
40217069	Auc not applicable to order	4180186
40217070	Order does not adhere to auc	4180186
40217071	Order adheres to auc	4180186
40217072	Auc hardship, extreme circ	4180186
40217073	Auc hardship, vendor issues	4180186
40217074	Auc hardship, insuf internet	4180186
40217075	Emer med cond susp/confirm	4180186
40217076	Ongoing care not medically possible because the patient was discharged early due to specific medical events, documented in the medical record, such as the patient became hospitalized or scheduled for surgery	4180186
40217076	Oc ni pt dc 1-2 vis	4180186
40217077	Oc ni pt home prog	4180186
40217077	Ongoing care not clinically indicated because the patient needed a home program only, referral to another provider or facility, or consultation only, as documented in the medical record	4180186
40217078	Docu dx degen neuro	4180186
40217079	Start eoc doc med rec	4180186
40217080	Ongoing care not possible because the patient self-discharged early (e.g., financial or insurance reasons, transportation problems, or reason unknown)	4180186
40217080	Oc ni pt selfdc	4180186
40217081	Oc ni pt dc	4180186
40217081	Ongoing care not medically possible because the patient was discharged early due to specific medical events, documented in the medical record, such as the patient became hospitalized or scheduled for surgery	4180186
40217082	Oc ni pt home prog	4180186
40217082	Ongoing care not clinically indicated because the patient needed a home program only, referral to another provider or facility, or consultation only, as documented in the medical record	4180186
40217083	Docu dx degen neuro	4180186
40217084	Start eoc doc med rec	4180186
40217085	Oc ni pt selfdc	4180186
40217085	Ongoing care not possible because the patient self-discharged early (e.g., financial or insurance reasons, transportation problems, or reason unknown)	4180186
40217086	Ongoing care not medically possible because the patient was discharged early due to specific medical events, documented in the medical record, such as the patient became hospitalized or scheduled for surgery	4180186
40217086	Oc ni pt dc	4180186
40217087	Oc ni pt home prog	4180186
40217087	Ongoing care not clinically indicated because the patient needed a home program only, referral to another provider or facility, or consultation only, as documented in the medical record	4180186
40217088	Docu dx degen neuro	4180186
40217089	Start eoc doc med rec	4180186
40217090	Oc not p pt selfdc	4180186
40217090	Ongoing care not possible because the patient self-discharged early (e.g., financial or insurance reasons, transportation problems, or reason unknown)	4180186
40217091	Ongoing care not medically possible because the patient was discharged early due to specific medical events, documented in the medical record, such as the patient became hospitalized or scheduled for surgery	4180186
40217091	Oc ni pt dc	4180186
