vocabulary_id	vocabulary_name	vocabulary_reference	vocabulary_version	vocabulary_concept_id
Relationship	OMOP Relationship	OMOP generated		44819235
US Census	Census regions of the United States (USCB)	https://www.census.gov/geo/maps-data/data/tiger-cart-boundary.html	US Census 2017 Release	32570
Plan Stop Reason	OMOP Plan Stop Reason	OMOP generated		32474
Cost Type	OMOP Cost Type	OMOP generated		5029
Meas Type	OMOP Measurement Type	OMOP generated		44819152
Episode	OMOP Episode	OMOP generated	Episode 20201014	32523
Visit	OMOP Visit	OMOP generated	Visit 20211216	44819119
Device Type	OMOP Device Type	OMOP generated		44819151
UB04 Typ bill	UB04 Type of Bill - Institutional (USHIK)	https://ushik.ahrq.gov/ViewItemDetails?&system=apcd&itemKey=196987000		32044
Drug Type	OMOP Drug Exposure Type	OMOP generated		44819126
Obs Period Type	OMOP Observation Period Type	OMOP generated		44819149
UB04 Point of Origin	UB04 Claim Source Inpatient Admission Code (CMS)	https://www.resdac.org/cms-data/variables/Claim-Source-Inpatient-Admission-Code		32045
Sponsor	OMOP Sponsor	OMOP generated		32472
SOPT	Source of Payment Typology (PHDSC)	https://www.nahdo.org/sopt	SOPT Version 9.2	32473
Type Concept	OMOP Type Concept	OMOP generated	Type Concept 20221030	32808
UB04 Pt dis status	UB04 Patient Discharge Status Code (CMS)	https://www.resdac.org/cms-data/variables/patient-discharge-status-code		32047
CDM	OMOP Common DataModel	https://github.com/OHDSI/CommonDataModel	CDM v6.0.0	32485
Note Type	OMOP Note Type	OMOP generated		44819146
UCUM	Unified Code for Units of Measure (Regenstrief Institute)	http://aurora.regenstrief.org/~ucum/ucum.html#section-Alphabetic-Index	Version 1.8.2	44819107
Condition Status	OMOP Condition Status	OMOP generated		32887
HCPCS	Healthcare Common Procedure Coding System (CMS)	http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html	20221001 Alpha Numeric HCPCS File	44819101
Cost	OMOP Cost	OMOP generated		581457
Metadata	OMOP Metadata	OMOP generated		32675
Procedure Type	OMOP Procedure Occurrence Type	OMOP generated		44819128
Vocabulary	OMOP Vocabulary	OMOP generated		44819232
Observation Type	OMOP Observation Type	OMOP generated		44819129
Korean Revenue Code	Korean Revenue Code (KNHIS)	OMOP generated		32724
UB04 Pri Typ of Adm	UB04 Claim Inpatient Admission Type Code (CMS)	https://www.resdac.org/cms-data/variables/Claim-Inpatient-Admission-Type-Code		32046
Language	OMOP Language	OMOP generated	Language 20221030	33069
Condition Type	OMOP Condition Occurrence Type	OMOP generated		44819127
Domain	OMOP Domain	OMOP generated		44819147
OSM	OpenStreetMap (OSMF)	https://www.openstreetmap.org/copyright/en, https://wambachers-osm.website/boundaries/	OSM Release 2019-02-21	32541
None	OMOP Standardized Vocabularies	OMOP generated	v5.0 23-JAN-23	44819096
Visit Type	OMOP Visit Type	OMOP generated		44819150
Death Type	OMOP Death Type	OMOP generated		44819135
Concept Class	OMOP Concept Class	OMOP generated		44819233
Cohort Type	OMOP Cohort Type	OMOP generated		44819234
Plan	OMOP Health Plan	OMOP generated		32471
